PICK,VALUE,Decay,New Values,Spine,2025,2024,2023,Floors,Fractions,Monotone Rounded,Final Dollar Per Pick,12,,Pick,1,2,3,4,5,6,7,8,9,10,11,12,,,1
1.01,6817,133,134,127,126,123,139,265,0,265,134,,,Round 1,134,105,93,86,74,65,59,52,48,43,40,35,832,,
1.02,5203,103,105,110,95,114,113,206,0,207,105,,,Round 2,31,28,26,24,21,19,18,16,14,13,12,11,229,,
1.03,5103,91,93,91,86,92,95,182,1,183,93,,,Round 3,10,9,8,7,7,6,6,5,5,5,4,4,73,,
1.04,5020,85,86,84,78,85,86,169,0,169,86,,,Round 4,4,4,3,3,3,3,3,3,2,2,2,2,31,,
1.05,4517,73,74,74,73,80,73,145,1,146,74,,,Round 5,2,2,2,2,2,2,2,2,2,2,2,2,24,,
1.06,4164,65,65,68,68,68,68,129,0,129,65,,,Round 6,1,1,1,1,1,1,1,1,1,1,1,1,12,,
1.07,4025,59,59,61,62,58,63,117,0,117,59,,,,180,147,132,122,106,96,88,79,72,66,61,55,1200,,
1.08,3650,52,52,57,57,53,59,103,0,103,52,,,,,,,,,,,,,,,,,,
1.09,3611,47,48,52,53,48,53,94,1,95,48,,,,,,,,,,,,,,,,,,
1.10,3608,43,43,44,45,43,45,85,0,85,43,,,,,,,,,,,,,,,,,,
1.11,3596,39,40,41,41,39,42,78,1,79,40,,,,,,,,,,,,,,,,,,
1.12,3426,35,35,35,38,35,35,69,0,69,35,,,,,,,,,,,,,,,,,,
2.01,3264,31,31,31,33,30,31,61,0,61,31,,,,,,,,,,,,,,,,,,
2.02,3179,28,28,27,30,27,26,55,0,55,28,,,,,,,,,,,,,,,,,,
2.03,3162,25,26,25,27,25,24,50,1,51,26,,,,,,,,,,,,,,,,,,
2.04,3125,23,24,23,23,23,22,46,1,47,24,,,,,,,,,,,,,,,,,,
2.05,2971,21,21,20,21,21,19,41,0,41,21,,,,,,,,,,,,,,,,,,
2.06,2963,19,19,19,19,19,18,38,0,38,19,,,,,,,,,,,,,,,,,,
2.07,2953,18,18,17,18,17,16,35,0,35,18,,,,,,,,,,,,,,,,,,
2.08,2807,16,16,15,16,16,15,31,0,32,16,,,,,,,,,,,,,,,,,,
2.09,2696,14,14,14,14,14,14,28,0,28,14,,,,,,,,,,,,,,,,,,
2.10,2672,13,13,12,13,12,12,25,1,26,13,,,,,,,,,,,,,,,,,,
2.11,2480,11,12,11,12,11,11,22,1,23,12,,,,,,,,,,,,,,,,,,
2.12,2416,10,11,11,11,11,11,20,1,21,11,,,,,,,,,,,,,,,,,,
3.01,2416,10,10,10,10,10,10,19,0,19,10,,,,,,,,,,,,,,,,,,
3.02,2109,8,9,9,9,9,9,16,1,17,9,,,,,,,,,,,,,,,,,,
3.03,2106,8,8,8,9,8,8,15,0,15,8,,,,,,,,,,,,,,,,,,
3.04,2098,7,7,7,8,8,6,14,0,14,7,,,Standings,Owner,,Pick #,Override Owner,Owner (Final),,Round,Original Owner,New Owner,Key,,,,,
3.05,2078,7,7,7,7,7,6,13,0,13,7,,,1,Ed,,12,,Ed,,1,Blaine,Jason,1|Blaine,,,,,
3.06,2074,6,6,6,7,7,5,12,0,12,6,,,2,Brent,,11,,Brent,,1,Ed,Jason,1|Ed,,,,,
3.07,2066,6,6,5,6,6,4,11,0,11,6,,,3,Joey,,10,,Joey,,1,Brent,Ty,1|Brent,,,,,
3.08,2045,5,5,5,6,5,4,10,0,10,5,,,4,MaKayla,,9,,MaKayla,,1,Ty,MaKayla,1|Ty,,,,,
3.09,1977,5,5,4,5,5,4,9,0,9,5,,,5,Ty,,8,,Ty,,1,Eric,Roy,1|Eric,,,,,
3.10,1967,4,5,4,5,5,4,8,1,9,5,,,6,Kich,,7,,Kich,,1,MaKayla,Brent,1|MaKayla,,,,,
3.11,1962,4,4,4,4,4,3,8,0,8,4,,,7,Eric,,6,,Eric,,1,Roy,Blaine,1|Roy,,,,,
3.12,1961,4,4,4,4,4,3,7,1,8,4,,,8,Collin,,5,,Collin,,2,Blaine,Jason,2|Blaine,,,,,
4.01,1910,4,4,3,4,4,3,7,0,7,4,,,9,Roy,,4,,Roy,,2,Roy,Jason,2|Roy,,,,,
4.02,1873,3,4,3,4,4,3,6,1,7,4,,,10,Jason,,3,,Jason,,2,Collin,Jason,2|Collin,,,,,
4.03,1822,3,3,3,3,3,3,6,0,6,3,,,11,Blaine,,2,,Blaine,,2,Kich,Jason,2|Kich,,,,,
4.04,1741,3,3,3,3,3,3,5,1,6,3,,,12,Joel,,1,,Joel,,2,Ty,Jason,2|Ty,,,,,
4.05,1724,3,3,3,3,3,2,5,0,5,3,,,,,,,,,,2,Joey,Jason,2|Joey,,,,,
4.06,1660,2,3,2,3,3,2,4,1,5,3,,,,,,,,,,2,Brent,Jason,2|Brent,,,,,
4.07,1640,2,3,2,3,3,2,4,1,5,3,,,Round,Pick,Value,Owner,,,,2,Jason,Collin,2|Jason,,,,,
4.08,1577,2,3,2,3,3,2,4,1,5,3,,,1,1,119,Joel,,,,2,Eric,Collin,2|Eric,,,,,
4.09,1565,2,2,2,2,2,2,4,0,4,2,,,1,2,119,Jason,,,,2,Ed,Collin,2|Ed,,,,,
4.10,1552,2,2,2,2,2,2,3,1,4,2,,,1,3,93,Jason,,,,3,Roy,Jason,3|Roy,,,,,
4.11,1404,2,2,2,2,2,2,3,1,4,2,,,1,4,86,Blaine,,,,3,Kich,Jason,3|Kich,,,,,
4.12,1351,2,2,2,2,2,2,3,1,4,2,,,1,5,74,Collin,,,,3,Brent,Jason,3|Brent,,,,,
5.01,1344,3,2,2,2,2,2,5,1,4,2,,,1,6,65,Roy,,,,3,Ed,Jason,3|Ed,,,,,
5.02,1299,3,2,2,2,2,2,5,0,4,2,,,1,7,59,Kich,,,,3,Eric,Roy,3|Eric,,,,,
5.03,1261,3,2,2,2,2,2,5,0,4,2,,,1,8,52,MaKayla,,,,4,Roy,Jason,4|Roy,,,,,
5.04,1247,3,2,2,2,2,2,5,0,4,2,,,1,9,48,Brent,,,,4,Collin,Jason,4|Collin,,,,,
5.05,1226,3,2,2,2,2,2,5,0,4,2,,,1,10,43,Joey,,,,4,Eric,Jason,4|Eric,,,,,
5.06,1211,3,2,2,2,2,2,5,0,4,2,,,1,11,40,Ty,,,,4,MaKayla,Jason,4|MaKayla,,,,,
5.07,1197,3,2,2,2,2,2,5,0,4,2,,,1,12,35,Jason,,,,4,Brent,Jason,4|Brent,,,,,
5.08,1184,3,2,2,2,2,2,5,0,4,2,,,2,1,29,Joel,,,,4,Ed,Jason,4|Ed,,,,,
5.09,1157,3,2,2,2,2,2,5,0,4,2,,,2,2,29,Jason,,,,4,Joey,Collin,4|Joey,,,,,
5.10,1143,3,2,2,2,2,2,5,0,4,2,,,2,3,26,Collin,,,,4,Jason,Joey,4|Jason,,,,,
5.11,1078,3,2,2,2,2,2,5,0,4,2,,,2,4,24,Jason,,,,5,Eric,Jason,5|Eric,,,,,
5.12,1069,3,2,2,2,2,2,5,0,4,2,,,2,5,21,Jason,,,,5,Brent,Ed,5|Brent,,,,,
6.01,1000,1,1,1,1,1,1,2,0,2,1,,,2,6,19,Collin,,Team,Auction$,5,Jason,Ty,5|Jason,,,,,
6.02,987,1,1,1,1,1,1,2,0,2,1,,,2,7,18,Jason,,Jason,422,5,Joey,Collin,5|Joey,,,,,
6.03,952,1,1,1,1,1,1,2,0,2,1,,,2,8,16,Jason,,Joel,164,6,Brent,Ed,6|Brent,,,,,
6.04,913,1,1,1,1,1,1,2,0,2,1,,,2,9,14,MaKayla,,Collin,141,6,Jason,Ty,6|Jason,,,,,
6.05,905,1,1,1,1,1,1,2,0,2,1,,,2,10,13,Jason,,Blaine,101,6,Collin,Kich,6|Collin,,,,,
6.06,842,1,1,1,1,1,1,2,0,2,1,,,2,11,12,Jason,,MaKayla,74,,,,,,,,,
6.07,823,1,1,1,1,1,1,2,0,2,1,,,2,12,11,Collin,,Roy,74,,,,,,,,,
6.08,820,1,1,1,1,1,1,2,0,2,1,,,3,1,9,Joel,,Kich,66,,,,,,,,,
6.09,805,1,1,1,1,1,1,2,0,2,1,,,3,2,9,Blaine,,Ty,54,,,,,,,,,
6.10,782,1,1,1,1,1,1,2,0,2,1,,,3,3,8,Jason,,Joey,52,,,,,,,,,
6.11,736,1,1,1,1,1,1,2,0,2,1,,,3,4,7,Jason,,Brent,48,,,,,,,,,
6.12,733,1,1,1,1,1,1,2,0,2,1,,,3,5,7,Collin,,Ed,6,,,,,,,,,
,,,1200,,1200,1200,1200,,,,1200,,,3,6,6,Roy,,Eric,1,,,,,,,,,
,,,,,,,,,,,,,,3,7,6,Jason,,,1200,,,,,,,,,
,,,,,,,,,,,,,,3,8,5,Ty,,,,,,,,,,,,
,,,,,,,,,,,,,,3,9,5,MaKayla,,,,,,,,,,,,
,,,,,,,,,,,,,,3,10,5,Joey,,,,,,,,,,,,
,,,,,,,,,,,,,,3,11,4,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,3,12,4,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,4,1,4,Joel,,,,,,,,,,,,
,,,,,,,,,,,,,,4,2,4,Blaine,,,,,,,,,,,,
,,,,,,,,,,,,,,4,3,3,Joey,,,,,,,,,,,,
,,,,,,,,,,,,,,4,4,3,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,4,5,3,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,4,6,3,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,4,7,3,Kich,,,,,,,,,,,,
,,,,,,,,,,,,,,4,8,3,Ty,,,,,,,,,,,,
,,,,,,,,,,,,,,4,9,2,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,4,10,2,Collin,,,,,,,,,,,,
,,,,,,,,,,,,,,4,11,2,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,4,12,2,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,5,1,2,Joel,,,,,,,,,,,,
,,,,,,,,,,,,,,5,2,2,Blaine,,,,,,,,,,,,
,,,,,,,,,,,,,,5,3,2,Ty,,,,,,,,,,,,
,,,,,,,,,,,,,,5,4,2,Roy,,,,,,,,,,,,
,,,,,,,,,,,,,,5,5,2,Collin,,,,,,,,,,,,
,,,,,,,,,,,,,,5,6,2,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,5,7,2,Kich,,,,,,,,,,,,
,,,,,,,,,,,,,,5,8,2,Ty,,,,,,,,,,,,
,,,,,,,,,,,,,,5,9,2,MaKayla,,,,,,,,,,,,
,,,,,,,,,,,,,,5,10,2,Collin,,,,,,,,,,,,
,,,,,,,,,,,,,,5,11,2,Ed,,,,,,,,,,,,
,,,,,,,,,,,,,,5,12,2,Ed,,,,,,,,,,,,
,,,,,,,,,,,,,,6,1,1,Joel,,,,,,,,,,,,
,,,,,,,,,,,,,,6,2,1,Blaine,,,,,,,,,,,,
,,,,,,,,,,,,,,6,3,1,Ty,,,,,,,,,,,,
,,,,,,,,,,,,,,6,4,1,Roy,,,,,,,,,,,,
,,,,,,,,,,,,,,6,5,1,Kich,,,,,,,,,,,,
,,,,,,,,,,,,,,6,6,1,Eric,,,,,,,,,,,,
,,,,,,,,,,,,,,6,7,1,Kich,,,,,,,,,,,,
,,,,,,,,,,,,,,6,8,1,Ty,,,,,,,,,,,,
,,,,,,,,,,,,,,6,9,1,MaKayla,,,,,,,,,,,,
,,,,,,,,,,,,,,6,10,1,Joey,,,,,,,,,,,,
,,,,,,,,,,,,,,6,11,1,Ed,,,,,,,,,,,,
,,,,,,,,,,,,,,6,12,1,Ed,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Rank,Player,Pos,Composite,,,,
,,,,,,,,,,,,,,,,,,,,,,1,Jeremiyah Love,RB,6817,,,,
,,,,,,,,,,,,,,,,,,,,,,3,Carnell Tate,WR,5203,,,,
,,,,,,,,,,,,,,,,,,,,,,4,Fernando Mendoza,QB,5103,,,,
,,,,,,,,,,,,,,,,,,,,,,5,Makai Lemon,WR,5020,,,,
,,,,,,,,,,,,,,,,,,,,,,6,Jordyn Tyson,WR,4517,,,,
,,,,,,,,,,,,,,,,,,,,,,7,Sonny Styles,LB,4164,,,,
,,,,,,,,,,,,,,,,,,,,,,8,Kenyon Sadiq,TE,4025,,,,
,,,,,,,,,,,,,,,,,,,,,,9,Denzel Boston,WR,3650,,,,
,,,,,,,,,,,,,,,,,,,,,,10,Caleb Downs,S,3611,,,,
,,,,,,,,,,,,,,,,,,,,,,11,Arvell Reese,LB,3608,,,,
,,,,,,,,,,,,,,,,,,,,,,12,David Bailey,EDGE,3596,,,,
,,,,,,,,,,,,,,,,,,,,,,13,Rueben Bain Jr.,EDGE,3426,,,,
,,,,,,,,,,,,,,,,,,,,,,14,C.J. Allen,LB,3264,,,,
,,,,,,,,,,,,,,,,,,,,,,15,KC Concepcion,WR,3179,,,,
,,,,,,,,,,,,,,,,,,,,,,16,Jacob Rodriguez,LB,3162,,,,
,,,,,,,,,,,,,,,,,,,,,,17,Jonah Coleman,RB,3125,,,,
,,,,,,,,,,,,,,,,,,,,,,18,Dillon Thieneman,S,2971,,,,
,,,,,,,,,,,,,,,,,,,,,,19,Emmanuel McNeil-Warren,S,2963,,,,
,,,,,,,,,,,,,,,,,,,,,,20,Jadarian Price,RB,2953,,,,
,,,,,,,,,,,,,,,,,,,,,,21,Omar Cooper Jr.,WR,2807,,,,
,,,,,,,,,,,,,,,,,,,,,,22,Eli Stowers,TE,2696,,,,
,,,,,,,,,,,,,,,,,,,,,,23,Ty Simpson,QB,2672,,,,
,,,,,,,,,,,,,,,,,,,,,,24,Elijah Sarratt,WR,2480,,,,
,,,,,,,,,,,,,,,,,,,,,,25,Emmett Johnson,RB,2416,,,,
,,,,,,,,,,,,,,,,,,,,,,26,Nicholas Singleton,RB,2416,,,,
,,,,,,,,,,,,,,,,,,,,,,27,Trinidad Chambliss,QB,2109,,,,
,,,,,,,,,,,,,,,,,,,,,,28,Chris Brazzell II,WR,2106,,,,
,,,,,,,,,,,,,,,,,,,,,,29,Jake Golday,LB,2098,,,,
,,,,,,,,,,,,,,,,,,,,,,30,Chris Bell,WR,2078,,,,
,,,,,,,,,,,,,,,,,,,,,,31,Zachariah Branch,WR,2074,,,,
,,,,,,,,,,,,,,,,,,,,,,32,Mike Washington Jr.,RB,2066,,,,
,,,,,,,,,,,,,,,,,,,,,,33,Malachi Fields,WR,2045,,,,
,,,,,,,,,,,,,,,,,,,,,,34,T.J. Parker,EDGE,1977,,,,
,,,,,,,,,,,,,,,,,,,,,,35,Josiah Trotter,LB,1967,,,,
,,,,,,,,,,,,,,,,,,,,,,36,Joe Royer,TE,1962,,,,
,,,,,,,,,,,,,,,,,,,,,,37,Anthony Hill Jr.,LB,1961,,,,
,,,,,,,,,,,,,,,,,,,,,,38,Germie Bernard,WR,1910,,,,
,,,,,,,,,,,,,,,,,,,,,,39,Max Klare,TE,1873,,,,
,,,,,,,,,,,,,,,,,,,,,,40,Ja'Kobi Lane,WR,1822,,,,
,,,,,,,,,,,,,,,,,,,,,,41,Antonio Williams,WR,1741,,,,
,,,,,,,,,,,,,,,,,,,,,,42,Kaytron Allen,RB,1724,,,,
,,,,,,,,,,,,,,,,,,,,,,43,Jack Endries,TE,1660,,,,
,,,,,,,,,,,,,,,,,,,,,,44,Garrett Nussmeier,QB,1640,,,,
,,,,,,,,,,,,,,,,,,,,,,45,Demond Claiborne,RB,1577,,,,
,,,,,,,,,,,,,,,,,,,,,,46,Bryce Lance,WR,1565,,,,
,,,,,,,,,,,,,,,,,,,,,,47,Skyler Bell,WR,1552,,,,
,,,,,,,,,,,,,,,,,,,,,,48,Reggie Virgil,WR,1404,,,,
,,,,,,,,,,,,,,,,,,,,,,49,Seth McGowan,RB,1351,,,,
,,,,,,,,,,,,,,,,,,,,,,50,Carson Beck,QB,1344,,,,
,,,,,,,,,,,,,,,,,,,,,,51,Terion Stewart,RB,1299,,,,
,,,,,,,,,,,,,,,,,,,,,,52,Adam Randall,RB,1261,,,,
,,,,,,,,,,,,,,,,,,,,,,53,Michael Trigg,TE,1247,,,,
,,,,,,,,,,,,,,,,,,,,,,54,Eric McAlister,WR,1226,,,,
,,,,,,,,,,,,,,,,,,,,,,55,Ted Hurst,WR,1211,,,,
,,,,,,,,,,,,,,,,,,,,,,56,Le'Veon Moss,RB,1197,,,,
,,,,,,,,,,,,,,,,,,,,,,57,Brenen Thompson,WR,1184,,,,
,,,,,,,,,,,,,,,,,,,,,,58,Deion Burks,WR,1157,,,,
,,,,,,,,,,,,,,,,,,,,,,59,C.J. Daniels,WR,1143,,,,
,,,,,,,,,,,,,,,,,,,,,,60,Eli Raridon,TE,1078,,,,
,,,,,,,,,,,,,,,,,,,,,,61,J'Mari Taylor,RB,1069,,,,
,,,,,,,,,,,,,,,,,,,,,,62,Justin Joly,TE,1000,,,,
,,,,,,,,,,,,,,,,,,,,,,63,C.J. Donaldson,RB,987,,,,
,,,,,,,,,,,,,,,,,,,,,,64,Taylen Green,QB,952,,,,
,,,,,,,,,,,,,,,,,,,,,,65,Drew Allar,QB,913,,,,
,,,,,,,,,,,,,,,,,,,,,,66,Oscar Delp,TE,905,,,,
,,,,,,,,,,,,,,,,,,,,,,67,Noah Thomas,WR,842,,,,
,,,,,,,,,,,,,,,,,,,,,,68,Roman Hemby,RB,823,,,,
,,,,,,,,,,,,,,,,,,,,,,69,Marlin Klein,TE,820,,,,
,,,,,,,,,,,,,,,,,,,,,,70,Dane Key,WR,805,,,,
,,,,,,,,,,,,,,,,,,,,,,71,Josh Cameron,WR,782,,,,
,,,,,,,,,,,,,,,,,,,,,,72,Kevin Coleman Jr.,WR,736,,,,
,,,,,,,,,,,,,,,,,,,,,,73,Caleb Douglas,WR,733,,,,
,,,,,,,,,,,,,,,,,,,,,,74,Cade Klubnik,QB,700,,,,
,,,,,,,,,,,,,,,,,,,,,,75,Aaron Anderson,WR,649,,,,
,,,,,,,,,,,,,,,,,,,,,,76,Cole Payton,QB,636,,,,
,,,,,,,,,,,,,,,,,,,,,,78,Eric Rivers,WR,528,,,,
,,,,,,,,,,,,,,,,,,,,,,79,Desmond Reid,RB,473,,,,
,,,,,,,,,,,,,,,,,,,,,,80,Jam Miller,RB,435,,,,